epoch,step,train_acc,train_loss,val_acc,val_best_f1,val_best_threshold,val_f1_macro,val_loss,val_roc_auc
0,4781,,,0.923235297203064,0.9237754344940186,0.50439453125,0.9231798052787781,0.19781965017318726,0.9844101667404175
0,4781,0.8872679471969604,0.2599876821041107,,,,,,
1,9563,,,0.918647050857544,0.9243151545524597,0.260498046875,0.9185681939125061,0.21963809430599213,0.9829761385917664
1,9563,0.9407581686973572,0.17158983647823334,,,,,,
2,14345,,,0.924294114112854,0.9256183505058289,0.31298828125,0.9242923259735107,0.2303556650876999,0.9838802814483643
2,14345,0.9612156748771667,0.13476379215717316,,,,,,
3,19127,,,0.924294114112854,0.924130380153656,0.197021484375,0.9242902994155884,0.2377084642648697,0.9825864434242249
3,19127,0.9761568903923035,0.10721563547849655,,,,,,
4,23909,,,0.9258823394775391,0.926165759563446,0.189208984375,0.9258800148963928,0.2723771333694458,0.9830722808837891
4,23909,0.9867647290229797,0.08650188893079758,,,,,,
5,28691,,,0.9249411821365356,0.9254669547080994,0.6025390625,0.9249342083930969,0.3058170676231384,0.9807156324386597
5,28691,0.992588222026825,0.07450835406780243,,,,,,
6,33473,,,0.9250588417053223,0.9262264370918274,0.11041259765625,0.9250587821006775,0.33127760887145996,0.9709072709083557
6,33473,0.9961242079734802,0.06633686274290085,,,,,,
7,38255,,,0.9222353100776672,0.9247280955314636,0.07977294921875,0.9222325086593628,0.329901784658432,0.9741492867469788
7,38255,0.9975293874740601,0.06322897970676422,,,,,,
